animal,retina,raw_conc,retina_wt,body_wt,day,ZT,sex,dose,tissue
8PM 17M,RR,93.080,3.9,23.2,1,13,M,21.55,retina
8PM 17M,LR,105.082,4.3,23.2,1,13,M,21.55,retina
9PM 1M,RR,76.803,4,22.7,1,14,M,22.03,retina
9PM 1M,LR,70.577,3,22.7,1,14,M,22.03,retina
9PM 2M,RR,257.059,3.8,24.4,1,14,M,20.49,retina
9PM 2M,LR,222.075,4.4,24.4,1,14,M,20.49,retina
9PM 3M,RR,160.074,4.1,25,1,14,M,20.00,retina
9PM 3M,LR,182.668,4.3,25,1,14,M,20.00,retina
9PM 4M,RR,155.225,3.6,24.7,1,14,M,20.24,retina
9PM 4M,LR,178.797,3.4,24.7,1,14,M,20.24,retina
9PM 5M,RR,143.680,3,26.2,1,14,M,19.08,retina
9PM 5M,LR,148.924,3.1,26.2,1,14,M,19.08,retina
9PM 6M,RR,78.220,3.5,25.7,1,14,M,19.46,retina
9PM 6M,LR,78.910,3.3,25.7,1,14,M,19.46,retina
9PM 7M,RR,197.982,4.2,26.8,1,14,M,18.66,retina
9PM 7M,LR,181.063,3,26.8,1,14,M,18.66,retina
9PM 8M,RR,184.044,2.9,25.3,1,14,M,19.76,retina
9PM 8M,LR,169.927,2.7,25.3,1,14,M,19.76,retina
10PM 1M,RR,131.796,4.7,25.3,1,15,M,19.76,retina
10PM 1M,LR,119.463,4.2,25.3,1,15,M,19.76,retina
10PM 2M,RR,89.732,5,26.1,1,15,M,19.16,retina
10PM 2M,LR,108.586,5,26.1,1,15,M,19.16,retina
10PM 3M,RR,110.678,6.1,25.2,1,15,M,19.84,retina
10PM 3M,LR,130.087,4.6,25.2,1,15,M,19.84,retina
10PM 4M,RR,139.600,3.8,24,1,15,M,20.83,retina
10PM 4M,LR,114.089,4.4,24,1,15,M,20.83,retina
10PM 5M,RR,74.233,4.8,26.4,1,15,M,18.94,retina
10PM 5M,LR,59.655,4.8,26.4,1,15,M,18.94,retina
10PM 6M,RR,142.347,4.1,24.3,1,15,M,20.58,retina
10PM 6M,LR,165.494,4.4,24.3,1,15,M,20.58,retina
10PM 7M,RR,176.524,4.4,23.3,1,15,M,21.46,retina
10PM 7M,LR,182.377,3.6,23.3,1,15,M,21.46,retina
10PM 8M,RR,104.057,5,26.1,1,15,M,19.16,retina
10PM 8M,LR,122.546,4.7,26.1,1,15,M,19.16,retina
Day 6 8AM 5M,RR,686.122,4.4,24.9,6,1,M,20.08,retina
Day 6 8AM 5M,LR,489.169,4.2,24.9,6,1,M,20.08,retina
Day 6 8AM 6M,RR,464.514,4.1,24.2,6,1,M,20.66,retina
Day 6 8AM 6M,LR,446.993,4.9,24.2,6,1,M,20.66,retina
Day 6 8AM 7M,RR,386.627,3.4,25,6,1,M,20.00,retina
Day 6 8AM 7M,LR,864.839,4,25,6,1,M,20.00,retina
Day 6 8AM 8M,RR,609.894,4.5,23.5,6,1,M,21.28,retina
Day 6 8AM 8M,LR,591.756,3.7,23.5,6,1,M,21.28,retina
Day 6 8AM 9M,RR,148.7447,3.6,26.2,6,1,M,21.87,retina
Day 6 8AM 9M,LR,216.8879,4.7,26.2,6,1,M,21.87,retina
Day 6 8AM 10M,RR,217.9537,3.5,29.6,6,1,M,19.36,retina
Day 6 8AM 10M,LR,240.558,5.2,29.6,6,1,M,19.36,retina
Day 6 8AM 11M,RR,245.6206,4.7,31.5,6,1,M,18.19,retina
Day 6 8AM 11M,LR,167.4336,4.2,31.5,6,1,M,18.19,retina
Day 6 8AM 12M,RR,257.7648,4.4,30.2,6,1,M,18.97,retina
Day 6 8AM 12M,LR,237.0901,4,30.2,6,1,M,18.97,retina
Day 6 6PM 5M,RR,181.934,4.8,25.2,6,11,M,19.84,retina
Day 6 6PM 5M,LR,124.604,4.2,25.2,6,11,M,19.84,retina
Day 6 6PM 6M,RR,151.625,3.4,25.4,6,11,M,19.69,retina
Day 6 6PM 6M,LR,202.494,4.8,25.4,6,11,M,19.69,retina
Day 6 6PM 7M,RR,230.092,5.6,26.5,6,11,M,18.87,retina
Day 6 6PM 7M,LR,176.260,4.4,26.5,6,11,M,18.87,retina
Day 6 6PM 8M,RR,93.9216,4.8,23.1,6,11,M,20.23,retina
Day 6 6PM 8M,LR,73.6636,5.4,23.1,6,11,M,20.23,retina
Day 6 6PM 9M,RR,76.2677,4.3,23,6,11,M,20.32,retina
Day 6 6PM 9M,LR,59.1434,6.2,23,6,11,M,20.32,retina
Day 6 6PM 10M,RR,81.1757,4.5,22,6,11,M,21.24,retina
Day 6 6PM 10M,LR,137.5662,4.3,22,6,11,M,21.24,retina
Day 6 6PM 11M,RR,136.7686,4.4,22.8,6,11,M,20.49,retina
Day 6 6PM 11M,LR,97.9193,5.3,22.8,6,11,M,20.49,retina
Day 6 6PM 12M,RR,68.6099,4.9,24.3,6,11,M,19.23,retina
Day 6 6PM 12M,LR,63.4027,4.4,24.3,6,11,M,19.23,retina
Day 13 9AM 1M,1M,238.237,3.9,25,13,2,M,24.00,retina
Day 13 9AM 1M,1M,252.989,3.8,25,13,2,M,24.00,retina
Day 13 9AM 2M,2M,229.134,5.1,33.7,13,2,M,17.80,retina
Day 13 9AM 2M,2M,183.562,5.2,33.7,13,2,M,17.80,retina
Day 13 9AM 3M,3M,130.197,5,33,13,2,M,18.18,retina
Day 13 9AM 3M,3M,160.258,5.4,33,13,2,M,18.18,retina
Day 13 9AM 4M,4M,148.484,5.3,34.5,13,2,M,17.39,retina
Day 13 9AM 4M,4M,109.001,5.2,34.5,13,2,M,17.39,retina
Day 13 4PM 1M,1M,254.707,3.9,22.8,13,9,M,26.32,retina
Day 13 4PM 1M,1M,206.772,3.5,22.8,13,9,M,26.32,retina
Day 13 4PM 2M,2M,187.945,5,32.9,13,9,M,18.24,retina
Day 13 4PM 2M,2M,160.412,5.4,32.9,13,9,M,18.24,retina
Day 13 4PM 3M,3M,110.744,6.1,30.7,13,9,M,19.54,retina
Day 13 4PM 3M,3M,149.008,4.1,30.7,13,9,M,19.54,retina
Day 13 4PM 4M,4M,153.343,4.6,32.1,13,9,M,18.69,retina
Day 13 4PM 4M,4M,185.151,4.8,32.1,13,9,M,18.69,retina
